age,job,marital,education,balance,housing,loan,contact,campaign,pdays,previous,poutcome,purchase
70,management,single,tertiary,439,yes,no,cellular,6,-1,0,other,yes
23,self-employed,married,secondary,1110,no,no,telephone,2,-1,3,unknown,no
52,unemployed,married,secondary,5800,yes,no,unknown,3,-1,2,success,no
58,blue-collar,divorced,secondary,1225,yes,no,unknown,5,-1,4,failure,no
54,technician,married,primary,8676,no,no,cellular,4,-1,4,other,no
41,self-employed,single,secondary,9279,yes,no,cellular,6,6,4,success,no
46,self-employed,single,tertiary,9028,no,no,cellular,8,29,4,failure,no
66,retired,single,tertiary,8353,yes,no,cellular,8,14,3,failure,no
63,unemployed,married,secondary,6687,no,no,unknown,3,19,4,other,no
70,self-employed,married,secondary,-468,yes,no,cellular,4,-1,3,unknown,no
48,unemployed,married,primary,5485,no,no,telephone,1,-1,0,failure,no
52,retired,single,secondary,2914,no,no,cellular,2,-1,0,unknown,no
50,student,divorced,tertiary,656,yes,no,cellular,9,-1,4,unknown,no
69,management,married,secondary,2626,yes,no,cellular,10,26,4,unknown,no
38,self-employed,married,secondary,7752,yes,no,cellular,10,-1,4,success,no
49,services,divorced,secondary,1043,yes,no,telephone,2,22,0,other,no
40,management,single,secondary,-229,no,no,cellular,6,-1,2,unknown,no
50,retired,single,secondary,4795,no,no,telephone,7,15,0,unknown,yes
20,blue-collar,married,tertiary,3576,yes,no,telephone,6,-1,4,unknown,no
35,services,married,secondary,5402,no,no,cellular,8,-1,2,other,no
42,technician,single,secondary,2209,no,no,telephone,9,6,2,unknown,no
59,management,single,secondary,8846,no,no,cellular,8,-1,1,unknown,no
48,retired,married,tertiary,4721,yes,no,telephone,5,6,3,unknown,no
20,management,married,secondary,9437,yes,no,telephone,8,-1,4,unknown,no
57,self-employed,married,tertiary,8029,yes,no,unknown,10,-1,3,failure,no
63,services,married,secondary,6222,yes,no,cellular,10,25,1,failure,yes
41,entrepreneur,married,secondary,7701,yes,yes,cellular,9,-1,3,unknown,no
67,housemaid,divorced,secondary,3644,yes,no,cellular,8,8,4,unknown,no
49,management,married,tertiary,5106,yes,no,cellular,2,-1,1,unknown,yes
64,technician,single,secondary,6266,no,no,telephone,2,-1,3,unknown,no
39,technician,married,secondary,230,yes,no,unknown,3,-1,0,failure,no
40,admin.,single,secondary,4390,yes,no,cellular,7,-1,2,unknown,yes
19,management,divorced,tertiary,1148,yes,no,cellular,9,-1,1,failure,no
44,housemaid,married,secondary,3728,yes,no,cellular,8,-1,0,unknown,no
59,student,married,secondary,1630,no,no,cellular,9,-1,4,unknown,no
19,self-employed,married,secondary,3866,yes,no,cellular,6,2,2,failure,no
43,unemployed,married,secondary,1006,yes,no,cellular,1,4,1,failure,no
34,housemaid,single,tertiary,1658,yes,no,telephone,4,-1,2,failure,no
57,unemployed,divorced,tertiary,2416,yes,no,cellular,6,-1,5,success,no
50,unemployed,married,secondary,2729,yes,no,cellular,6,-1,5,unknown,no
26,entrepreneur,married,secondary,9358,no,no,telephone,8,-1,1,success,yes
60,admin.,married,secondary,5765,yes,no,cellular,1,-1,1,success,no
65,housemaid,single,secondary,3636,yes,yes,cellular,2,-1,3,failure,no
56,housemaid,married,secondary,2189,yes,no,telephone,2,30,2,unknown,no
46,entrepreneur,married,tertiary,6690,yes,no,telephone,6,8,5,other,no
59,management,single,primary,2310,no,no,cellular,7,-1,5,failure,no
43,management,single,primary,5652,no,yes,cellular,2,-1,2,unknown,no
52,management,married,tertiary,-488,no,yes,telephone,5,6,5,other,no
67,blue-collar,single,tertiary,5438,yes,no,telephone,6,-1,0,other,yes
42,unemployed,married,tertiary,7499,yes,no,cellular,4,12,5,unknown,no
41,blue-collar,married,secondary,6719,no,yes,cellular,1,24,5,failure,no
30,admin.,single,tertiary,4828,no,no,cellular,3,-1,4,unknown,yes
24,entrepreneur,single,secondary,3121,yes,no,cellular,10,-1,0,unknown,no
53,housemaid,married,secondary,3183,yes,no,cellular,9,12,3,unknown,no
62,self-employed,married,tertiary,7372,yes,no,cellular,6,27,1,failure,no
37,unemployed,married,secondary,4810,yes,yes,cellular,2,-1,5,unknown,no
18,blue-collar,married,secondary,152,yes,no,telephone,9,3,3,unknown,no
25,blue-collar,married,primary,5299,yes,no,cellular,4,-1,3,failure,no
63,retired,married,secondary,8312,no,no,telephone,8,-1,0,failure,no
33,blue-collar,married,secondary,3290,yes,no,telephone,10,8,1,unknown,no
31,student,single,primary,1145,yes,no,cellular,7,24,4,unknown,no
29,housemaid,single,tertiary,9935,yes,no,telephone,3,-1,3,unknown,no
68,student,single,tertiary,4012,no,no,telephone,8,12,4,unknown,no
40,housemaid,married,secondary,4259,yes,no,cellular,4,-1,1,unknown,no
32,entrepreneur,divorced,secondary,5374,no,no,cellular,2,-1,1,failure,no
45,housemaid,single,tertiary,3188,yes,no,cellular,5,-1,0,unknown,no
51,student,single,tertiary,7189,no,no,unknown,1,-1,2,unknown,no
19,housemaid,single,secondary,879,yes,no,cellular,8,-1,5,unknown,no
49,entrepreneur,divorced,secondary,3743,yes,yes,cellular,8,-1,0,failure,no
40,entrepreneur,married,secondary,9737,yes,no,telephone,3,13,4,failure,no
39,admin.,married,primary,9080,yes,no,cellular,1,14,0,failure,no
68,housemaid,single,secondary,6007,yes,no,cellular,4,-1,1,unknown,yes
42,self-employed,single,tertiary,7319,no,yes,telephone,9,-1,3,unknown,no
39,retired,single,secondary,8093,yes,no,cellular,9,-1,5,failure,no
39,management,married,tertiary,2153,yes,no,telephone,1,30,5,other,yes
66,technician,married,primary,5111,yes,no,telephone,7,-1,2,unknown,yes
69,entrepreneur,married,tertiary,5627,no,no,cellular,6,-1,1,unknown,no
59,services,divorced,secondary,3423,no,no,cellular,7,-1,5,other,no
23,management,married,tertiary,7959,no,no,telephone,7,-1,5,failure,yes
32,unemployed,married,tertiary,5412,yes,no,unknown,8,-1,3,failure,no
60,housemaid,married,secondary,4630,no,no,cellular,8,14,4,unknown,yes
54,student,married,primary,4939,no,no,cellular,10,17,4,unknown,no
50,technician,single,tertiary,7380,no,no,cellular,2,-1,4,failure,no
25,services,single,primary,5949,yes,no,telephone,4,-1,0,unknown,no
70,management,single,tertiary,1225,yes,no,telephone,4,-1,4,unknown,yes
61,housemaid,married,secondary,8804,yes,yes,cellular,10,23,4,unknown,no
61,admin.,single,secondary,7022,yes,no,unknown,8,-1,0,failure,no
22,unemployed,married,secondary,4284,no,no,cellular,3,1,3,unknown,yes
56,technician,single,primary,8972,yes,no,telephone,3,-1,1,unknown,no
21,retired,married,tertiary,732,yes,no,cellular,2,-1,5,unknown,no
23,admin.,married,tertiary,9555,no,yes,cellular,1,-1,2,unknown,no
62,services,single,secondary,8308,no,no,cellular,8,-1,5,unknown,no
49,technician,divorced,secondary,7838,yes,no,cellular,9,-1,4,unknown,no
69,admin.,married,tertiary,6946,no,no,telephone,9,-1,4,other,no
47,unemployed,single,secondary,4116,yes,no,cellular,8,-1,5,other,no
64,retired,married,secondary,4225,no,no,cellular,5,-1,5,other,no
52,admin.,married,tertiary,3177,no,yes,cellular,1,-1,4,failure,yes
57,blue-collar,married,secondary,5787,yes,no,cellular,9,-1,0,unknown,no
69,retired,married,secondary,7980,no,no,telephone,6,-1,0,unknown,yes
33,services,married,secondary,909,no,yes,telephone,7,23,0,other,no
30,unemployed,married,secondary,7705,yes,no,cellular,8,-1,2,other,no
67,self-employed,married,primary,-244,yes,no,cellular,5,-1,1,failure,no
59,housemaid,divorced,secondary,1221,no,no,cellular,6,-1,4,unknown,yes
47,student,married,secondary,923,yes,no,unknown,7,-1,3,other,no
36,student,single,secondary,4453,yes,no,unknown,7,-1,5,unknown,no
34,student,married,tertiary,2490,no,no,telephone,2,7,5,unknown,no
36,technician,single,secondary,695,no,no,unknown,1,-1,4,other,yes
45,services,married,tertiary,4059,yes,no,telephone,8,-1,4,unknown,no
43,unemployed,married,secondary,3865,yes,no,telephone,5,21,4,other,no
54,retired,married,secondary,744,yes,no,cellular,10,23,5,unknown,no
43,technician,married,secondary,6266,yes,no,cellular,2,27,4,other,no
70,services,married,tertiary,4802,yes,no,cellular,3,11,5,other,no
40,housemaid,single,primary,806,no,no,cellular,6,22,1,unknown,no
26,blue-collar,single,secondary,9813,yes,no,cellular,10,-1,3,unknown,no
29,unemployed,single,tertiary,1902,yes,no,cellular,6,-1,0,other,no
70,student,single,primary,-4,yes,no,cellular,8,-1,3,failure,no
18,admin.,married,secondary,2899,no,no,cellular,5,5,4,success,yes
18,self-employed,married,tertiary,409,yes,no,cellular,5,25,3,unknown,no
64,unemployed,married,secondary,-128,yes,no,cellular,7,-1,4,other,no
51,entrepreneur,married,primary,5736,yes,no,unknown,10,-1,3,unknown,no
49,services,married,tertiary,844,no,no,telephone,5,9,2,other,no
65,management,married,primary,8015,no,no,telephone,9,24,3,other,no
42,housemaid,married,tertiary,1931,yes,no,cellular,6,-1,0,unknown,no
57,blue-collar,married,secondary,4170,yes,no,cellular,7,28,0,unknown,no
62,housemaid,single,primary,2284,yes,no,cellular,8,-1,3,unknown,no
70,unemployed,single,secondary,8907,yes,no,unknown,5,-1,5,unknown,no
18,management,married,secondary,1195,yes,no,cellular,4,-1,5,failure,no
33,entrepreneur,divorced,tertiary,1407,yes,no,cellular,8,-1,5,unknown,no
56,retired,divorced,tertiary,4314,yes,no,telephone,10,-1,3,success,no
22,admin.,married,primary,280,yes,no,cellular,9,8,5,other,no
39,management,married,secondary,519,yes,yes,cellular,1,9,1,failure,no
46,services,married,tertiary,903,no,no,cellular,3,9,3,unknown,yes
20,student,divorced,tertiary,926,yes,no,cellular,4,-1,0,failure,no
29,entrepreneur,single,secondary,8355,yes,no,cellular,7,-1,5,failure,no
43,admin.,married,secondary,5368,yes,no,cellular,6,-1,2,other,no
33,self-employed,married,secondary,-490,no,no,telephone,10,-1,5,success,no
68,blue-collar,married,secondary,5830,no,no,telephone,10,-1,0,success,yes
54,student,married,primary,8730,yes,no,cellular,1,-1,1,other,yes
39,unemployed,married,tertiary,2325,yes,no,unknown,4,-1,3,failure,no
46,management,single,tertiary,6964,yes,no,cellular,6,10,5,failure,no
31,admin.,single,primary,2503,yes,no,cellular,3,-1,2,failure,no
45,technician,single,secondary,8767,yes,yes,cellular,2,27,0,unknown,no
22,retired,single,tertiary,6695,no,no,cellular,2,-1,2,unknown,no
64,self-employed,single,secondary,6220,yes,no,cellular,10,29,4,unknown,no
66,retired,married,tertiary,2588,no,no,cellular,4,-1,0,unknown,no
47,entrepreneur,single,secondary,1289,yes,no,telephone,1,-1,4,success,yes
63,blue-collar,married,primary,2536,no,no,cellular,10,-1,2,other,no
69,entrepreneur,single,secondary,6877,no,no,cellular,2,17,3,unknown,yes
22,technician,married,secondary,7098,yes,no,unknown,10,-1,3,unknown,no
29,services,single,tertiary,4338,yes,no,cellular,2,-1,3,unknown,yes
33,blue-collar,married,secondary,5372,yes,no,cellular,4,18,4,unknown,no
43,housemaid,married,tertiary,3153,yes,no,telephone,4,-1,3,failure,no
43,services,married,secondary,3799,yes,no,cellular,1,-1,1,unknown,no
65,blue-collar,married,tertiary,8768,no,no,cellular,7,-1,0,unknown,no
38,blue-collar,single,secondary,473,yes,no,cellular,7,1,0,other,no
56,technician,single,secondary,6583,no,no,cellular,10,-1,2,unknown,no
53,unemployed,married,secondary,4994,yes,yes,cellular,10,-1,5,success,no
50,technician,married,secondary,9557,no,no,cellular,10,-1,4,unknown,no
47,blue-collar,married,secondary,8991,yes,no,unknown,1,-1,0,failure,yes
54,admin.,married,secondary,2906,no,no,telephone,8,10,4,failure,no
40,services,married,secondary,4650,yes,no,cellular,10,-1,2,unknown,no
27,technician,single,secondary,8850,yes,no,telephone,7,-1,3,other,no
22,unemployed,married,tertiary,2629,no,no,unknown,7,-1,5,unknown,no
53,management,married,primary,-396,yes,no,cellular,6,-1,2,unknown,yes
51,entrepreneur,married,secondary,6933,no,no,cellular,4,-1,1,other,no
69,blue-collar,married,tertiary,7189,no,no,cellular,8,-1,3,failure,no
48,housemaid,married,tertiary,3067,yes,yes,telephone,2,-1,3,unknown,no
27,management,single,secondary,3848,yes,no,cellular,7,26,3,unknown,no
36,retired,married,tertiary,3890,no,yes,unknown,3,-1,2,unknown,no
49,student,married,secondary,6311,yes,no,cellular,3,-1,1,unknown,no
18,unemployed,married,secondary,681,no,no,cellular,7,-1,5,unknown,no
22,housemaid,married,secondary,4144,no,no,cellular,3,-1,4,other,yes
62,student,married,tertiary,5373,yes,no,cellular,5,20,2,unknown,yes
21,unemployed,divorced,tertiary,3894,yes,no,telephone,8,-1,0,unknown,no
33,admin.,single,secondary,3034,no,yes,unknown,4,-1,0,unknown,no
41,entrepreneur,married,secondary,5344,yes,no,cellular,7,2,2,other,no
33,management,married,primary,5439,yes,no,unknown,7,-1,4,unknown,no
19,services,married,secondary,5975,yes,no,telephone,2,-1,0,unknown,no
66,unemployed,married,secondary,1274,yes,no,cellular,8,-1,4,unknown,no
45,services,single,primary,7783,yes,no,telephone,10,-1,3,unknown,yes
49,entrepreneur,single,tertiary,-54,yes,yes,cellular,10,-1,2,unknown,no
44,blue-collar,married,tertiary,-392,no,no,cellular,9,-1,3,other,no
37,retired,married,tertiary,2739,yes,no,cellular,6,-1,0,other,no
41,management,married,tertiary,5431,yes,yes,telephone,5,-1,4,unknown,no
29,entrepreneur,single,secondary,3553,no,no,cellular,1,-1,3,other,no
67,entrepreneur,single,secondary,4037,no,no,telephone,1,28,0,unknown,no
52,admin.,married,secondary,5861,no,yes,telephone,9,-1,1,failure,no
50,student,married,primary,745,yes,no,cellular,4,26,3,failure,no
50,retired,single,tertiary,2220,no,no,cellular,1,-1,1,unknown,no
68,management,married,secondary,7969,yes,no,cellular,10,13,1,unknown,no
60,blue-collar,married,tertiary,7241,yes,no,cellular,3,-1,5,unknown,no
54,blue-collar,married,secondary,4605,yes,no,cellular,6,-1,0,failure,no
29,technician,single,secondary,2422,yes,no,cellular,8,20,2,failure,no
20,entrepreneur,married,tertiary,2013,no,yes,cellular,10,22,4,unknown,no
18,unemployed,married,secondary,8530,yes,no,cellular,2,-1,0,failure,no
50,admin.,single,primary,2301,no,no,cellular,8,-1,5,other,no
57,retired,married,secondary,6481,no,no,cellular,1,-1,5,unknown,no
27,blue-collar,married,tertiary,7721,no,no,telephone,2,22,3,unknown,no
60,management,married,tertiary,6002,yes,no,unknown,8,-1,4,failure,no
61,technician,married,secondary,5538,no,no,cellular,7,1,5,failure,no
46,management,single,primary,5729,yes,no,cellular,5,5,2,other,yes
30,admin.,married,secondary,8949,yes,no,cellular,10,12,0,success,no
29,unemployed,married,secondary,-136,no,yes,cellular,2,-1,2,unknown,no
48,technician,married,secondary,1300,yes,no,cellular,9,-1,3,unknown,no
63,technician,single,tertiary,5458,yes,yes,cellular,5,28,0,failure,no
19,student,single,secondary,8596,no,no,unknown,8,-1,3,failure,yes
68,retired,married,secondary,6936,yes,no,cellular,4,7,4,success,no
67,technician,married,secondary,4293,no,yes,telephone,9,-1,4,unknown,no
52,self-employed,single,secondary,9870,yes,no,cellular,10,2,2,success,yes
40,student,married,tertiary,7660,yes,no,cellular,7,-1,2,unknown,no
34,student,single,secondary,-321,yes,no,cellular,2,-1,4,other,no
43,admin.,single,secondary,3373,yes,no,cellular,3,6,1,other,no
25,self-employed,single,secondary,3460,yes,yes,cellular,2,-1,4,success,no
46,services,married,secondary,686,no,no,cellular,5,3,0,unknown,no
43,management,married,primary,273,yes,no,cellular,2,-1,3,unknown,no
27,unemployed,single,secondary,3960,no,no,cellular,5,-1,4,unknown,no
43,housemaid,married,primary,-148,yes,no,telephone,9,-1,4,other,no
51,management,married,secondary,6443,yes,no,unknown,2,-1,5,other,yes
68,technician,single,secondary,4702,no,no,cellular,9,-1,3,other,no
58,unemployed,single,primary,4844,no,no,cellular,7,6,5,other,no
24,blue-collar,married,secondary,4007,yes,no,cellular,7,14,3,other,no
21,services,married,tertiary,4330,no,no,unknown,5,-1,0,unknown,no
70,blue-collar,married,primary,-383,no,no,cellular,8,-1,3,failure,yes
67,self-employed,single,secondary,-19,yes,no,cellular,7,1,2,other,no
62,blue-collar,divorced,secondary,3787,no,no,cellular,6,4,4,other,no
28,retired,married,tertiary,6302,yes,yes,cellular,2,5,3,success,no
46,management,married,secondary,7798,no,no,cellular,6,3,0,unknown,no
53,housemaid,single,secondary,3977,no,no,unknown,2,-1,3,failure,yes
42,admin.,married,secondary,6033,no,no,unknown,1,-1,4,success,no
38,housemaid,married,secondary,-257,yes,no,cellular,9,-1,1,unknown,no
53,blue-collar,divorced,tertiary,6512,yes,yes,cellular,5,-1,3,other,no
27,technician,married,secondary,365,no,no,cellular,10,4,2,other,no
54,services,single,secondary,9253,yes,no,cellular,10,-1,4,unknown,no
26,entrepreneur,married,tertiary,4829,yes,no,unknown,4,25,0,failure,no
41,housemaid,married,secondary,103,no,no,cellular,8,16,4,unknown,yes
52,blue-collar,single,secondary,5256,yes,no,cellular,5,18,5,failure,no
66,services,married,tertiary,3518,yes,no,cellular,7,23,1,unknown,no
52,unemployed,divorced,secondary,4692,yes,no,telephone,3,-1,0,unknown,no
65,management,married,tertiary,1515,yes,yes,cellular,8,17,1,unknown,no
53,student,married,primary,9350,no,no,cellular,8,-1,1,unknown,no
35,retired,married,secondary,2880,no,no,cellular,3,-1,2,unknown,no
66,services,married,tertiary,3270,yes,no,cellular,9,12,3,unknown,no
56,technician,married,secondary,5329,no,no,unknown,8,-1,2,failure,no
49,self-employed,married,secondary,1113,no,yes,cellular,1,30,2,unknown,no
41,technician,married,primary,1379,no,no,cellular,8,3,5,failure,no
40,services,married,primary,4872,yes,yes,cellular,4,9,2,unknown,no
49,technician,single,secondary,3608,no,no,telephone,6,-1,0,unknown,no
54,management,single,tertiary,8791,yes,yes,cellular,10,3,3,unknown,no
29,technician,single,primary,8766,no,no,cellular,9,-1,3,unknown,no
66,housemaid,married,primary,8478,no,no,cellular,5,17,0,unknown,no
30,student,married,secondary,-352,yes,no,telephone,7,-1,2,failure,no
40,technician,single,secondary,1254,no,yes,telephone,1,5,2,failure,no
42,student,married,secondary,9861,yes,no,unknown,9,-1,1,unknown,no
52,blue-collar,married,primary,6878,no,no,cellular,6,-1,1,unknown,no
58,admin.,single,secondary,6181,yes,no,cellular,4,-1,5,unknown,yes
47,management,single,tertiary,3256,no,no,unknown,6,-1,4,unknown,yes
34,admin.,married,secondary,8871,yes,no,cellular,5,7,1,failure,no
66,blue-collar,married,secondary,8616,yes,no,cellular,3,-1,3,unknown,no
37,management,single,secondary,4892,yes,no,telephone,7,-1,0,failure,no
65,services,married,primary,9295,yes,yes,cellular,3,-1,2,failure,yes
42,services,single,secondary,2552,yes,no,cellular,2,-1,4,success,yes
39,student,single,tertiary,5192,no,no,telephone,4,-1,1,unknown,no
30,blue-collar,single,secondary,3718,yes,yes,telephone,7,15,4,unknown,no
36,student,married,secondary,4303,yes,no,cellular,5,-1,0,failure,no
66,retired,married,secondary,1877,yes,no,cellular,9,-1,0,unknown,no
53,technician,single,secondary,4586,no,no,cellular,10,-1,4,other,no
29,entrepreneur,single,secondary,2682,no,no,cellular,7,-1,4,unknown,no
58,retired,single,secondary,2660,no,yes,cellular,9,-1,5,unknown,yes
36,technician,married,secondary,6076,no,no,cellular,9,-1,4,success,no
29,management,married,secondary,8403,yes,no,unknown,2,12,2,unknown,no
26,student,single,primary,2086,yes,yes,telephone,1,-1,3,success,no
24,management,single,primary,2148,yes,no,telephone,4,-1,1,unknown,no
45,management,divorced,secondary,6813,no,yes,cellular,4,-1,1,other,no
31,technician,single,tertiary,1217,no,no,cellular,2,-1,1,failure,no
48,blue-collar,married,primary,4808,yes,no,unknown,3,28,4,unknown,no
69,self-employed,single,secondary,6907,yes,no,cellular,3,-1,4,failure,no
36,technician,single,tertiary,370,yes,no,cellular,5,29,5,unknown,no
64,unemployed,married,primary,3074,yes,yes,cellular,1,-1,4,failure,no
33,services,single,secondary,5327,no,no,unknown,9,-1,5,other,yes
70,services,married,secondary,7486,yes,yes,unknown,8,-1,5,unknown,yes
22,retired,married,primary,7962,no,no,cellular,8,-1,2,success,no
52,services,single,tertiary,9235,yes,no,unknown,3,-1,2,unknown,no
29,technician,married,secondary,8241,no,no,cellular,2,-1,2,unknown,no
42,housemaid,married,secondary,5269,no,no,cellular,1,-1,2,unknown,no
69,student,married,secondary,5233,no,no,telephone,6,-1,0,other,no
38,technician,married,tertiary,9404,no,no,unknown,10,-1,2,unknown,no
53,self-employed,married,tertiary,2740,no,no,cellular,1,-1,2,unknown,no
70,technician,married,primary,9054,no,no,cellular,5,21,2,failure,yes
40,entrepreneur,divorced,secondary,4393,no,no,telephone,9,-1,5,unknown,no
33,student,married,tertiary,8976,no,no,telephone,9,6,1,failure,no
56,unemployed,married,tertiary,386,no,no,unknown,4,-1,1,unknown,no
62,services,married,secondary,5354,no,yes,cellular,7,-1,1,unknown,yes
70,student,single,secondary,4818,no,no,unknown,7,-1,3,unknown,no
59,services,married,primary,1758,no,no,unknown,4,-1,0,unknown,no
56,retired,single,tertiary,3882,yes,no,cellular,5,-1,5,failure,no
31,student,single,secondary,1285,yes,no,telephone,9,-1,4,success,yes
48,services,single,tertiary,7227,yes,yes,cellular,7,-1,5,failure,no
22,unemployed,married,secondary,-205,yes,yes,cellular,7,-1,2,other,no
52,admin.,single,tertiary,9745,no,no,cellular,10,20,1,unknown,no
40,management,married,tertiary,2097,yes,no,cellular,7,-1,5,unknown,no
46,management,divorced,secondary,180,no,no,cellular,9,-1,0,other,no
60,unemployed,single,primary,4390,yes,no,unknown,5,-1,2,unknown,no
28,entrepreneur,married,tertiary,3798,yes,no,cellular,6,20,3,unknown,no
35,admin.,married,secondary,-176,no,no,cellular,3,-1,4,failure,no
64,retired,married,tertiary,7452,no,yes,unknown,1,-1,2,failure,no
29,unemployed,single,secondary,9983,yes,no,cellular,2,24,4,unknown,yes
26,management,married,secondary,486,no,no,cellular,8,6,5,other,no
27,management,married,secondary,2618,no,no,cellular,1,-1,2,unknown,no
61,management,married,secondary,260,yes,no,cellular,10,-1,3,other,no
34,blue-collar,single,tertiary,7258,yes,no,cellular,7,12,5,unknown,no
55,unemployed,single,secondary,8728,no,no,telephone,5,16,0,unknown,yes
24,technician,single,tertiary,406,yes,no,cellular,6,-1,4,success,no
63,retired,single,tertiary,4999,yes,no,telephone,8,-1,4,success,no
30,management,married,secondary,-136,yes,no,cellular,4,-1,0,failure,no
57,services,married,tertiary,7269,no,no,cellular,6,-1,4,failure,no
59,unemployed,single,secondary,2913,no,no,telephone,3,3,5,other,no
26,self-employed,married,secondary,7527,no,no,telephone,7,-1,1,unknown,no
67,blue-collar,married,secondary,7439,yes,no,cellular,2,27,0,unknown,yes
44,unemployed,married,secondary,8761,no,no,cellular,8,9,3,unknown,yes
19,retired,married,secondary,9947,yes,yes,cellular,7,-1,2,failure,yes
22,blue-collar,married,tertiary,2581,yes,yes,cellular,8,-1,2,unknown,no
46,retired,single,secondary,4948,yes,no,cellular,2,-1,0,other,no
54,unemployed,married,secondary,2758,yes,no,telephone,3,-1,1,unknown,no
55,technician,married,primary,1607,no,no,cellular,4,1,5,unknown,yes
36,self-employed,married,tertiary,7428,no,no,telephone,9,-1,3,unknown,no
25,retired,single,tertiary,2433,yes,no,cellular,5,-1,2,unknown,no
65,blue-collar,married,secondary,2329,no,no,cellular,6,-1,2,failure,no
62,blue-collar,single,tertiary,8133,no,yes,cellular,1,15,5,success,yes
18,retired,single,tertiary,4506,no,no,cellular,4,-1,1,unknown,no
39,housemaid,married,tertiary,1059,yes,no,unknown,4,-1,4,other,no
69,unemployed,divorced,tertiary,1241,no,no,cellular,10,10,0,unknown,no
34,housemaid,divorced,secondary,5330,yes,no,cellular,8,-1,1,unknown,no
24,entrepreneur,single,secondary,7023,no,no,telephone,8,1,1,unknown,no
42,unemployed,single,secondary,125,yes,no,cellular,10,-1,1,failure,no
62,retired,married,secondary,1190,no,yes,cellular,6,30,1,failure,no
21,admin.,married,tertiary,7782,yes,no,cellular,8,-1,4,success,no
53,retired,married,secondary,5810,yes,no,telephone,9,-1,5,unknown,no
23,housemaid,married,primary,2506,no,no,unknown,5,-1,3,unknown,no
48,technician,divorced,primary,3802,no,no,unknown,1,-1,1,unknown,no
36,retired,married,secondary,588,no,no,cellular,1,-1,1,unknown,no
61,retired,single,secondary,5507,no,no,unknown,2,-1,0,failure,no
56,technician,single,primary,4111,yes,no,cellular,2,27,2,failure,yes
44,retired,single,primary,8872,yes,no,cellular,5,26,4,unknown,no
27,management,divorced,secondary,7428,yes,no,telephone,7,-1,1,unknown,no
43,admin.,married,secondary,9593,yes,no,cellular,7,-1,3,failure,yes
36,services,married,tertiary,3990,no,no,cellular,4,-1,3,unknown,no
56,admin.,married,tertiary,7878,no,no,cellular,4,15,3,other,no
20,self-employed,married,secondary,1097,no,yes,cellular,10,-1,0,failure,no
62,retired,married,tertiary,3247,no,no,telephone,3,-1,3,unknown,yes
30,management,married,secondary,2170,no,no,cellular,2,10,5,success,no
67,unemployed,single,secondary,7931,yes,no,cellular,3,9,0,unknown,yes
45,retired,married,secondary,2080,yes,no,cellular,8,-1,4,success,no
37,housemaid,married,secondary,6932,no,no,unknown,1,22,3,unknown,no
45,management,single,secondary,7830,yes,no,telephone,4,23,2,unknown,no
25,technician,married,secondary,2006,yes,no,cellular,7,-1,1,unknown,no
58,management,married,secondary,4225,yes,no,unknown,5,-1,4,failure,no
56,technician,single,secondary,9937,no,no,telephone,2,30,5,failure,no
18,entrepreneur,single,secondary,3800,yes,no,cellular,1,-1,2,unknown,no
20,services,single,primary,9441,no,no,cellular,6,-1,4,failure,yes
30,student,married,secondary,8259,no,no,cellular,5,-1,5,unknown,no
45,management,single,secondary,6502,yes,no,telephone,3,22,3,unknown,no
66,blue-collar,single,tertiary,8573,no,no,cellular,9,9,4,failure,no
42,housemaid,married,primary,5631,no,no,cellular,3,-1,4,unknown,no
50,retired,single,secondary,8331,no,no,cellular,2,29,4,unknown,no
55,housemaid,single,tertiary,4037,no,no,unknown,5,7,0,unknown,no
70,admin.,married,tertiary,1835,yes,no,cellular,9,18,2,other,yes
23,student,married,tertiary,3821,no,no,unknown,8,-1,5,other,no
61,admin.,divorced,secondary,2485,yes,yes,unknown,6,-1,3,failure,no
62,entrepreneur,single,tertiary,59,no,yes,cellular,3,5,1,failure,no
49,student,married,secondary,213,no,no,cellular,6,-1,3,other,no
62,student,single,tertiary,4093,no,no,cellular,5,2,3,unknown,no
64,admin.,married,tertiary,3488,yes,no,unknown,1,15,0,success,yes
38,technician,married,secondary,5703,yes,no,cellular,5,-1,0,failure,no
33,admin.,married,tertiary,-244,yes,no,cellular,7,18,4,success,no
38,housemaid,divorced,secondary,8268,yes,no,cellular,9,-1,3,failure,yes
28,technician,divorced,tertiary,-463,yes,no,cellular,1,-1,2,success,no
54,housemaid,married,secondary,9764,yes,no,unknown,3,-1,0,unknown,yes
53,entrepreneur,married,secondary,8152,yes,no,telephone,8,-1,5,other,no
52,retired,married,secondary,9132,no,no,unknown,6,-1,0,failure,no
36,self-employed,divorced,primary,1332,yes,no,cellular,5,14,2,failure,no
37,unemployed,divorced,secondary,7100,no,no,cellular,10,1,0,unknown,no
35,technician,single,secondary,4667,no,no,unknown,2,-1,2,other,no
64,entrepreneur,single,secondary,-68,yes,yes,cellular,3,1,1,success,yes
58,self-employed,single,tertiary,3651,no,no,unknown,2,-1,2,unknown,no
66,blue-collar,married,tertiary,5911,yes,no,cellular,1,-1,1,other,no
31,entrepreneur,married,secondary,1251,no,yes,cellular,7,-1,5,unknown,no
32,admin.,married,secondary,9739,yes,no,telephone,3,-1,4,unknown,yes
48,admin.,single,secondary,4497,yes,no,unknown,7,11,4,other,no
